OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,PropertyGFATotal - PropertyGFAParking,Densite_etage,Age,Pourc_elec,Pourc_gas,Pourc_steam
339,2016,NonResidential,Small- and Mid-Sized Office,Broderick Building,615 2nd Avenue,Seattle,WA,98104.0,0939000130,7,Downtown,47.60266,-122.33332,1900,1.0,7,89550,0,89550,"Office, Retail Store, Social/Meeting Hall",Office,64712.0,Retail Store,10058.0,Social/Meeting Hall,7030.0,,85.0,47.70000076,50.59999847,141.6000061,148.8000031,3903259.75,4135330.5,348386.8125,1041873.5,3554872.0,0.0,0.0,False,,Compliant,,51.67,0.58,89550,3.5,123,0.9107444104892072,0.0,0.08925534932693116
340,2016,NonResidential,Small- and Mid-Sized Office,The Pioneer Building,600 First Ave,Seattle,WA,98104.0,0939000150,7,Downtown,47.60219,-122.33347,1900,1.0,6,89355,0,89355,"Office, Retail Store",Office,82355.0,Retail Store,7000.0,,,,66.0,46.79999924,46.90000153,145.3999939,145.5,4178233.5,4188308.75,0.0,1206506.75,4116601.0,616.3200073,61632.0,False,,Compliant,,31.97,0.36,89355,3.0,123,0.9852491489525418,0.014750731379660806,0.0
341,2016,NonResidential,Large Office,Dexter Horton Building,710 2nd Avenue,Seattle,WA,98104.0,0939000260,7,Downtown,47.6036,-122.33288,1922,1.0,15,388934,0,388934,Office,Office,388934.0,,,,,20152014201220112009,89.0,47.79999924,48.79999924,144.0,145.3000031,18576900.0,18982748.0,1192343.75,5095121.0,17384553.0,0.0,0.0,False,,Compliant,,213.23,0.55,388934,7.5,101,0.9358156097088319,0.0,0.06418421534271057
342,2016,NonResidential,Large Office,Seattle Exchange Building,821 2nd ave,Seattle,WA,98104.0,0939000335,7,Downtown,47.60403,-122.33497,1929,1.0,22,384302,0,384302,"Convenience Store without Gas Station, Food Service, Office",Office,348969.0,Convenience Store without Gas Station,3291.899902,Food Service,1437.0,201220092008,98.0,28.39999962,29.60000038,89.30000305,93.0,10062436.0,10471812.0,0.0,2949131.0,10062435.0,0.0,0.0,False,,Compliant,,70.15,0.18,384302,11.0,94,0.9999999006204859,0.0,0.0
343,2016,NonResidential,Large Office,Norton Building,801 2nd Ave Suite 1300,Seattle,WA,98104.0,0939000355,7,Downtown,47.6037,-122.33447,1958,1.0,17,378525,84600,293925,"Office, Parking",Office,236827.0,Parking,83311.0,Restaurant,14679.0,,69.0,105.1999969,0.0,240.8999939,0.0,24906132.0,0.0,10921066.0,4098787.75,13985064.0,0.0,0.0,False,,Compliant,,940.47,2.48,293925,8.5,65,0.5615108761167732,0.0,0.43848904358171714
345,2016,NonResidential,Large Office,999 Third Avenue,"999 3rd Avenue, Suite 1550",Seattle,WA,98104.0,0939000435,7,Downtown,47.60505,-122.33427,1983,1.0,47,1323055,0,1323055,"Office, Parking, Restaurant",Office,1011135.0,Parking,272682.0,Restaurant,37595.0,,94.0,42.59999847,42.59999847,133.5,133.5,44683660.0,44683660.0,0.0,13048606.0,44521844.0,1618.117065,161812.0,False,,Compliant,,318.97,0.24,1323055,23.5,40,0.9963786314728919,0.0036212790089263057,0.0
346,2016,NonResidential,Large Office,1000 Second Avenue,1000 Second Avenue,Seattle,WA,98104.0,0939000475,7,Downtown,47.60567,-122.33511,1986,1.0,41,589921,129432,460489,"Office, Parking, Pre-school/Daycare",Office,470416.0,Parking,107667.0,Pre-school/Daycare,10290.0,20162015,84.0,51.20000076,51.20000076,160.6999969,160.6999969,24603420.0,24603420.0,0.0,7210849.0,24603417.0,0.0,0.0,False,,Compliant,,171.52,0.29,460489,20.5,37,0.9999998780657323,0.0,0.0
347,2016,NonResidential,Small- and Mid-Sized Office,1015 Second Avenue,1015 Second Avenue,Seattle,WA,98104.0,0939000520,7,Downtown,47.60542,-122.33588,1950,1.0,6,91091,1392,89699,"Office, Parking",Office,89699.0,Parking,1392.0,,,,,20.5,21.39999962,53.90000153,55.0,1835804.875,1916413.75,480784.0,397133.9063,1355021.0,0.0,0.0,False,,Compliant,,46.56,0.51,89699,3.0,73,0.738107311105163,0.0,0.26189275698486203
348,2016,NonResidential,Large Office,1101 Second Avenue (HOB),1101 2nd Avenue,Seattle,WA,98101.0,0942000025,7,Downtown,47.60581,-122.33664,1968,1.0,8,157941,62993,94948,"Office, Parking",Office,84838.0,Parking,15401.0,,,2016,81.0,44.09999847,44.09999847,138.5,138.5,3743228.5,3743228.5,0.0,1097077.25,3743228.0,0.0,0.0,False,,Compliant,,26.1,0.17,94948,4.0,55,0.9999998664254667,0.0,0.0
349,2016,NonResidential,Large Office,2nd and Seneca,1191 2nd Avenue,Seattle,WA,98101.0,0942000030,7,Downtown,47.60614,-122.33674,1991,1.0,29,635303,197231,438072,"Office, Parking",Office,522667.0,Parking,194435.0,Convenience Store without Gas Station,6122.0,201620152014201320112010200920072000,95.0,34.90000153,35.90000153,108.8000031,111.9000015,18221224.0,18754466.0,180731.7969,5287365.0,18040489.0,0.0,0.0,False,,Compliant,,139.72,0.22,438072,14.5,32,0.990081072489971,0.0,0.00991875172052108
351,2016,NonResidential,Large Office,1111 Third Avenue,1111 3rd Ave Suite 310,Seattle,WA,98101.0,0942000050,7,Downtown,47.60655,-122.33533,1980,1.0,34,776762,162604,614158,"Office, Parking",Office,606050.0,Parking,154947.0,,,201620092008,81.0,53.70000076,53.79999924,168.3000031,168.3999939,32552428.0,32577050.0,0.0,9512705.0,32457349.0,950.7598877,95076.0,False,,Compliant,,231.32,0.3,614158,17.0,43,0.9970792040458549,0.0029207037951209046,0.0
352,2016,NonResidential,Large Office,Abraham Lincoln Building (Wallysons Inc),1110 Third Avenue,Seattle,WA,98101.0,0942000140,7,Downtown,47.60671,-122.33456,1972,1.0,14,186768,23775,162993,"Data Center, Office, Parking",Office,182540.0,Parking,33671.0,Data Center,240.0,201620142012,95.0,52.70000076,53.90000153,142.8000031,143.1000061,9641043.0,9843217.0,2154977.5,2194040.0,7486064.0,0.0,0.0,False,,Compliant,,218.53,1.17,162993,7.0,51,0.7764786444786109,0.0,0.2235211999365629
